3,7,8
22,7,8
3,8,9
26,8,9
1,9,10
26,9,10
1,10,12
76,10,12
1,12,13
76,12,13
1,13,14
76,13,14
1,14,15
76,14,15
1,15,17
81,15,17
1,17,19
81,17,19
1,19,20
81,19,20
1,20,22
81,20,22
1,22,23
81,22,23
1,23,24
81,23,24
1,24,25
92,24,25
1,25,26
92,25,26
1,26,27
92,26,27
1,27,28
92,27,28
1,28,29
92,28,29
1,29,30
92,29,30
1,30,32
92,30,32
1,32,33
92,32,33
1,33,34
92,33,34
1,34,35
92,34,35
1,35,36
92,35,36
1,36,38
92,36,38
1,38,39
92,38,39
1,39,40
92,39,40
1,40,41
92,40,41
1,41,42
92,41,42
1,42,43
92,42,43
1,43,44
92,43,44
1,44,45
92,44,45
1,45,46
92,45,46
1,46,50
92,46,50
1,50,51
92,50,51
1,51,52
92,51,52
1,52,53
92,52,53
1,53,55
92,53,55
1,55,56
92,55,56
1,56,57
92,56,57
1,57,58
92,57,58
1,58,59
92,58,59
1,59,60
92,59,60
1,60,61
92,60,61
1,61,62
92,61,62
1,62,63
92,62,63
1,63,64
92,63,64
1,64,65
92,64,65
1,65,66
92,65,66
1,66,68
92,66,68
1,68,69
92,68,69
1,69,71
92,69,71
1,71,72
92,71,72
1,72,73
92,72,73
1,73,74
92,73,74
1,74,75
92,74,75
1,75,76
96,75,76
1,76,77
96,76,77
1,77,78
96,77,78
1,78,79
96,78,79
1,79,80
96,79,80
1,80,81
96,80,81
1,81,82
96,81,82
1,82,83
96,82,83
1,83,84
96,83,84
1,84,85
96,84,85
1,85,86
96,85,86
1,86,87
96,86,87
1,87,88
96,87,88
1,88,89
96,88,89
1,89,90
96,89,90
1,90,91
96,90,91
1,91,92
96,91,92
1,92,93
96,92,93
1,93,94
96,93,94
1,94,95
98,94,95
1,95,96
98,95,96
1,96,97
98,96,97
1,97,98
98,97,98
1,98,99
98,98,99
5,99,100
62,99,100
76,99,100
96,99,100
