17,19,20,46
76,95,20,5
12,94,86,5
26,35,16,62
36,50,26,46
52,61,15,25
10,53,76,36
46,58,21,17
40,63,35,25
15,38,26,22
23,55,54,36
55,63,19,14
4,10,72,72
7,17,57,81
25,59,49,38
6,8,20,38
19,29,12,66
7,40,53,39
3,13,16,30
4,39,68,58
9,33,42,24
21,26,22,66
16,28,24,24
25,33,37,30
32,44,34,24
39,44,34,45
3,13,19,13
24,39,37,30
7,53,61,16
47,50,17,32
29,38,44,57
14,71,59,24
3,25,35,48
16,40,64,53
43,56,19,41
8,17,21,22
5,43,67,49
20,52,61,44
5,53,65,45
44,50,37,40
17,26,22,50
27,51,53,42
30,74,60,18
5,44,57,56
3,41,40,10
5,12,14,86
13,69,69,18
31,44,26,22
66,72,19,24
71,75,25,22
4,32,49,48
32,60,39,21
11,56,67,39
15,34,53,42
31,33,19,40
51,75,31,11
34,45,16,49
14,15,67,77
10,35,43,63
29,30,60,62
40,57,40,28
1,14,14,85
66,80,21,9
22,24,70,69
13,74,70,12
10,50,64,40
24,78,59,12
18,28,39,72
22,23,48,68
12,46,39,39
40,66,30,8
30,83,56,7
50,51,7,32
2,42,72,45
24,38,15,38
36,60,45,25
23,62,56,22
20,36,48,52
6,24,31,75
1,9,11,90
3,7,19,84
9,36,70,51
12,33,38,65
6,19,70,78
8,27,20,44
38,42,17,35
77,83,16,11
20,22,4,58
14,79,70,20
75,86,17,12
2,20,31,43
21,22,16,47
6,12,21,48
6,45,66,42
3,19,55,45
49,68,28,30
